rowid,loan_range,business_name,address,city,state,zip,naics_code,naics_desc,business_type,race_ethnicity,gender,veteran,non_profit,jobs_reported,date_approved,lender,min_value,max_value
4036,"d $350,000-1 million","SIERRA VISTA MOTOR SALES, INC. DBA SIERRA TOYOTA",2596 E FRY BLVD,SIERRA VISTA,AZ,85635,441110,New Car Dealers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,47,2020-04-15,"JPMorgan Chase Bank, National Association",350000,1000000
4037,"d $350,000-1 million",SIGMA SALES INC,3 ojo ct 0.0,RIO RICO,AZ,85628,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,30,2020-04-09,"JPMorgan Chase Bank, National Association",350000,1000000
4038,"d $350,000-1 million","SILVER RIDGE MANAGEMENT, INC.",2812 Silver Creek Rd,BULLHEAD CITY,AZ,86442,623110,Nursing Care Facilities (Skilled Nursing Facilities),Corporation,Unanswered,Unanswered,Unanswered,,145,2020-04-14,Western Alliance Bank,350000,1000000
4039,"d $350,000-1 million","SILVERADO ROOTER AND PLUMBING, INC.",1208 W. Rodge Rd,TUCSON,AZ,85705,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation,Unanswered,Unanswered,Unanswered,,37,2020-04-28,Tucson Old Pueblo CU,350000,1000000
4040,"d $350,000-1 million",SILVERBULLETDAY LLC,5505 W Chandler Blvd Ste 1,CHANDLER,AZ,85226,722513,Limited-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,2020-04-29,Banner Bank,350000,1000000
4041,"d $350,000-1 million","SILVERWARE, INC.",5644 E THOMAS RD,PHOENIX,AZ,85018,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Partnership,Unanswered,Male Owned,Non-Veteran,,34,2020-04-06,First Fidelity Bank,350000,1000000
4042,"d $350,000-1 million","SIMON & COMPANY, INC.",6900 E. 2nd Street,SCOTTSDALE,AZ,85251,531390,Other Activities Related to Real Estate,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,2020-04-11,"Zions Bank, A Division of",350000,1000000
4043,"d $350,000-1 million","SIMPLY BITS, LLC",5225 N Sabino Canyon Road,TUCSON,AZ,85750,561312,Executive Search Services,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,49,2020-04-13,"Readycap Lending, LLC",350000,1000000
4044,"d $350,000-1 million",SIMPSON NORTON CORPORATION,4144 S BULLARD AVE,GOODYEAR,AZ,85338,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4045,"d $350,000-1 million","SINHUI LEE, DDS, PLC",4356 N Oracle Rd,TUCSON,AZ,85705,621210,Offices of Dentists,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,2020-04-10,KeyBank National Association,350000,1000000
4046,"d $350,000-1 million",SIRH LLC,1750 W Chandler BLVD,CHANDLER,AZ,85224,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,100,2020-04-28,"BankUnited, National Association",350000,1000000
4047,"d $350,000-1 million","SITEWORKS LANDSCAPE DEVELOPMENT, LLC",2915 W FAIRVIEW ST,CHANDLER,AZ,85224,561730,Landscaping Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,85,2020-04-07,Arizona Bank & Trust,350000,1000000
4048,"d $350,000-1 million","SITEWORKS LANDSCAPE MAINTENANCE, INC.",2915 W. FAIRVIEW STREET,CHANDLER,AZ,85224,561730,Landscaping Services,Corporation,Unanswered,Unanswered,Unanswered,,94,2020-04-07,Arizona Bank & Trust,350000,1000000
4049,"d $350,000-1 million","SKI PRO, LLC",2110 E CAMELBACK RD,PHOENIX,AZ,85016,451110,Sporting Goods Stores,Corporation,Unanswered,Unanswered,Unanswered,,,2020-04-07,Gateway Commercial Bank,350000,1000000
4050,"d $350,000-1 million",SKIN AND CANCER CENTER OF ARIZONA PC,725 SOUTH DOBSON ROAD SUITE 200,CHANDLER,AZ,85224,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4051,"d $350,000-1 million",SKYLANES LLC,7340 E. Indian Plaza,SCOTTSDALE,AZ,85251,722410,Drinking Places (Alcoholic Beverages),Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,140,2020-04-13,"Zions Bank, A Division of",350000,1000000
4052,"d $350,000-1 million",SKYLINE BUILDERS & RESTORATION,2401 N 24th Ave,PHOENIX,AZ,85009,238320,Painting and Wall Covering Contractors,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,49,2020-04-11,"Alerus Financial, National Association",350000,1000000
4053,"d $350,000-1 million","SKYLINE EDUCATION, INC.",2020 N ARIZONA AVE STE 109,CHANDLER,AZ,85225,611110,Elementary and Secondary Schools,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,50,2020-04-28,Western Alliance Bank,350000,1000000
4054,"d $350,000-1 million",SKYLINE POTATO COMPANY,701 W 16TH ST,YUMA,AZ,85364,111211,Potato Farming,Corporation,Unanswered,Unanswered,Unanswered,,100,2020-04-29,Glacier Bank,350000,1000000
4055,"d $350,000-1 million","SKYMED INTERNATIONAL, INC.",9089 E Bahia Drive,SCOTTSDALE,AZ,85260,621910,Ambulance Services,Corporation,White,Male Owned,Non-Veteran,,21,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
4056,"d $350,000-1 million","SKYTOP, INC","525 E Pinnacle Peak Rd, Ste 180",PHOENIX,AZ,85024,238160,Roofing Contractors,Subchapter S Corporation,White,Female Owned,Non-Veteran,,38,2020-04-27,Desert Financial FCU d/b/a Desert Financial CU,350000,1000000
4057,"d $350,000-1 million",SKYVIEW COOLING COMPANY,701 W 16th St Ste 101,YUMA,AZ,85364,115114,Postharvest Crop Activities (except Cotton Ginning),Corporation,Unanswered,Unanswered,Unanswered,,58,2020-04-29,Glacier Bank,350000,1000000
4058,"d $350,000-1 million",SLAYPEG LLC,P.O. Box 51657,PHOENIX,AZ,85076,722513,Limited-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,2020-04-15,Banner Bank,350000,1000000
4059,"d $350,000-1 million","SLHC, INC",627 N 6th Ave,TUCSON,AZ,85705,624120,Services for the Elderly and Persons with Disabilities,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,162,2020-04-12,Cross River Bank,350000,1000000
4060,"d $350,000-1 million",SMALL MIRACLES LLC,3430 E SUNRISE DR STE 190,TUCSON,AZ,85718,624410,Child Day Care Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,176,2020-04-09,"Academy Bank, National Association",350000,1000000
4061,"d $350,000-1 million","SMART PEST SOLUTIONS, LLC",5025 S Ash,TEMPE,AZ,85282,561710,Exterminating and Pest Control Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-04-07,Gateway Commercial Bank,350000,1000000
4062,"d $350,000-1 million","SMART SYSTEMS TECHNOLOGIES OF ARIZONA, INC.",1819 W 3RD ST,TEMPE,AZ,85281,238210,Electrical Contractors and Other Wiring Installation Contractors,Corporation,Hispanic,Male Owned,Non-Veteran,,0,2020-04-10,American Business Bank,350000,1000000
4063,"d $350,000-1 million",SMARTERTOOLS INC,1903 W PARKSIDE LAN SUITE 106,PHOENIX,AZ,85027,541511,Custom Computer Programming Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4064,"d $350,000-1 million","SMARTHEALTH, INC.",3400 E MCDOWELL RD,PHOENIX,AZ,85008,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Corporation,Unanswered,Unanswered,Unanswered,,37,2020-04-05,Enterprise Bank & Trust,350000,1000000
4065,"d $350,000-1 million",SMILES FOR SPECIAL NEEDS LLC,2424 E. SOUTHERN AVE,MESA,AZ,85204,624120,Services for the Elderly and Persons with Disabilities,Limited  Liability Company(LLC),American Indian or Alaska Native,Male Owned,Non-Veteran,,107,2020-04-28,Meadows Bank,350000,1000000
4066,"d $350,000-1 million",SMITHCRAFT,3643 S. 7th Street,PHOENIX,AZ,85040,339950,Sign Manufacturing,Corporation,White,Male Owned,Veteran,,46,2020-04-10,"Zions Bank, A Division of",350000,1000000
4067,"d $350,000-1 million","SMS MANAGEMENT, LLC",6829 N 12TH ST,PHOENIX,AZ,85014,541219,Other Accounting Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,2020-04-10,First Western Trust Bank,350000,1000000
4068,"d $350,000-1 million",SMT FARMS LLC,8420 E. US HIGHWAY 95,YUMA,AZ,85365,111219,Other Vegetable (except Potato) and Melon Farming,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4069,"d $350,000-1 million","SMYTH INDUSTRIES, INC.",4010 E. Illinois Street,TUCSON,AZ,85714,332420,Metal Tank (Heavy Gauge) Manufacturing,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,52,2020-04-15,"Zions Bank, A Division of",350000,1000000
4070,"d $350,000-1 million",SNAP TECH IT LLC,BROADWAY RD,TEMPE,AZ,85282,541519,Other Computer Related Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,2020-04-06,First Fidelity Bank,350000,1000000
4071,"d $350,000-1 million","SNOW, CARPIO & WEEKLEY",55 E Thomas Rd,PHOENIX,AZ,85012,541110,Offices of Lawyers,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,34,2020-04-12,Cross River Bank,350000,1000000
4072,"d $350,000-1 million",SOBEL MEDICAL CONSULTANTS PC,4550 E BELL RD STE 114,PHOENIX,AZ,85032,541618,Other Management Consulting Services,Professional Association,Unanswered,Unanswered,Unanswered,,25,2020-05-05,"Bank of America, National Association",350000,1000000
4073,"d $350,000-1 million",SOGNO TOSCANO TUSCAN DREAM INC,1445 W 12th Place,TEMPE,AZ,85281,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-11,MidFirst Bank,350000,1000000
4074,"d $350,000-1 million","SOL SOLUTIONS, LLC",12036 N 62nd Pl,SCOTTSDALE,AZ,85254,541620,Environmental Consulting Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,71,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
4075,"d $350,000-1 million","SOLAR GAIN, INC",702 E 17th St,TUCSON,AZ,85719,444190,Other Building Material Dealers,Corporation,Unanswered,Unanswered,Unanswered,,60,2020-04-15,Western Alliance Bank,350000,1000000
4076,"d $350,000-1 million",SOLLERS CONSTRUCTION LLC,2337 N FERGUSON LN,CENTRAL,AZ,85531,236220,Commercial and Institutional Building Construction,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,55,2020-05-02,"Zions Bank, A Division of",350000,1000000
4077,"d $350,000-1 million",SOLON CORPORATION,"2155 N Forbes Blvd, Suite 101",TUCSON,AZ,85745,237130,Power and Communication Line and Related Structures Construction,Corporation,Unanswered,Unanswered,Unanswered,,29,2020-04-14,Bank of the West,350000,1000000
4078,"d $350,000-1 million",SOMBRERO CONSTRUCTION LLC,14575 W LA ESTRELLA STE C,GOODYEAR,AZ,85338,236210,Industrial Building Construction,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,73,2020-04-16,"Bank of America, National Association",350000,1000000
4079,"d $350,000-1 million",SONORAN LANDESIGN LLC,20624 N. 29th Place,PHOENIX,AZ,85050,541320,Landscape Architectural Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,53,2020-04-16,"JPMorgan Chase Bank, National Association",350000,1000000
4080,"d $350,000-1 million",SONORAN MEDICAL CENTERS PLC,19875 N 51ST AVE,GLENDALE,AZ,85308,621112,"Offices of Physicians, Mental Health Specialists",Corporation,Unanswered,Male Owned,Non-Veteran,,44,2020-05-03,"Bank of America, National Association",350000,1000000
4081,"d $350,000-1 million",SONORAN ORTHOPAEDIC TRAUMA SURGEONS PLLC,3126 N Civic Center Plaza,SCOTTSDALE,AZ,85251,621493,Freestanding Ambulatory Surgical and Emergency Centers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,37,2020-04-08,BMO Harris Bank National Association,350000,1000000
4082,"d $350,000-1 million",SONORAN PERSONNEL GROUP,725 W INDIAN SCHOOL RD SUITE 134,PHOENIX,AZ,85013,561311,Employment Placement Agencies,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4083,"d $350,000-1 million","SONORAN PROPERTY MAINTENANCE, LLC",3743 N 24th St,PHOENIX,AZ,85016,561720,Janitorial Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,116,2020-04-15,BNC National Bank,350000,1000000
4084,"d $350,000-1 million",SONORAN SPINE CENTER PC,1255 W Rio Salado Parkway #107,TEMPE,AZ,85281,621111,Offices of Physicians (except Mental Health Specialists),Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,82,2020-04-28,MidFirst Bank,350000,1000000
4085,"d $350,000-1 million",SOUL SURGERY LLC,14362 N FRANK LLOYD WRIGHT BLVD STE B111,SCOTTSDALE,AZ,85260,621420,Outpatient Mental Health and Substance Abuse Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,2020-04-29,"JPMorgan Chase Bank, National Association",350000,1000000
4086,"d $350,000-1 million",SOULISTIC MEDICAL INSTITUTE,18 Calle Iglesia,TUBAC,AZ,85646,621610,Home Health Care Services,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,43,2020-04-15,Commerce Bank of Arizona,350000,1000000
4087,"d $350,000-1 million",SOURCE DIRECT CONSTRUCTION IMPORTS LLC,4750 S 32nd Street Ste 100,PHOENIX,AZ,85040,442110,Furniture Stores,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,2020-04-10,BMO Harris Bank National Association,350000,1000000
4088,"d $350,000-1 million","SOURCE GROUP, LLC",CRAYCROFT RD 635 N Craycroft Rd.,TUCSON,AZ,85711,541840,Media Representatives,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,2020-06-16,"Newtek Small Business Finance, Inc.",350000,1000000
4089,"d $350,000-1 million",SOUTH GRAND CANYON HOSPITALITY,406 Canyon Plaza Ln,GRAND CANYON,AZ,86023,721110,Hotels (except Casino Hotels) and Motels,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
4090,"d $350,000-1 million","SOUTHEAST VALLEY GASTROENTEROLOGY CONSULTANTS, P.C.",875 S Dobson Rd,CHANDLER,AZ,85224,621111,Offices of Physicians (except Mental Health Specialists),Corporation,White,Male Owned,Non-Veteran,,60,2020-04-11,"BOKF, National Association",350000,1000000
4091,"d $350,000-1 million",SOUTHEASTERN ARIZONA BEHAVIORAL HEALTH S,611 W UNION STREET,BENSON,AZ,85602,561110,Office Administrative Services,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4092,"d $350,000-1 million",SOUTHEASTERN BOTTLING COMPANY OF DBA PEPSI-COLA BOTTLING COM,17 N 8TH AVE,SAFFORD,AZ,85546,423830,Industrial Machinery and Equipment Merchant Wholesalers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,2020-04-16,"JPMorgan Chase Bank, National Association",350000,1000000
4093,"d $350,000-1 million",SOUTHERN ARIZONA AIDS FOUNDATION,375 SOUTH EUCLID AVENUE,TUCSON,AZ,85719,813219,Other Grantmaking and Giving Services,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,89,2020-05-08,Arizona Central CU,350000,1000000
4094,"d $350,000-1 million",SOUTHERN ARIZONA ASSOCIATION FOR THE VISUALLY IMPAIRED,3767 East Grant Road,TUCSON,AZ,85716,624310,Vocational Rehabilitation Services,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,75,2020-04-13,"Zions Bank, A Division of",350000,1000000
4095,"d $350,000-1 million","SOUTHERN ARIZONA ENDODONTICS, P.C.",1011 N CRAYCROFT RD STE 107,TUCSON,AZ,85711,621210,Offices of Dentists,Corporation,Unanswered,Unanswered,Unanswered,,66,2020-04-27,Pacific Premier Bank,350000,1000000
4096,"d $350,000-1 million",SOUTHERN ARIZONA FAMILY SERVICES,310 S Williams Blvd Suite 130,TUCSON,AZ,85711,621610,Home Health Care Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,347,2020-04-13,"Zions Bank, A Division of",350000,1000000
4097,"d $350,000-1 million","SOUTHERN ARIZONA GRAPHICS ASSOCIATES, INC.",383 N Commerce Park Loop,TUCSON,AZ,85745,323111,Commercial Printing (except Screen and Books),Corporation,Unanswered,Unanswered,Unanswered,,59,2020-04-28,"Zions Bank, A Division of",350000,1000000
4098,"d $350,000-1 million",SOUTHERN ARIZONA PAVING & CONSTRUCTION CO,4102 E ILLINOIS ST,TUCSON,AZ,85714,237310,"Highway, Street, and Bridge Construction",Corporation,Unanswered,Unanswered,Unanswered,,73,2020-04-28,Western Alliance Bank,350000,1000000
4099,"d $350,000-1 million","SOUTHGATE ACADEMY, INC.",7842 E Wrightstown Rd,TUCSON,AZ,85715,611110,Elementary and Secondary Schools,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,88,2020-04-15,Western Alliance Bank,350000,1000000
4100,"d $350,000-1 million",SOUTHWEST CENTER FOR HIV/AIDS,1101 North Central Avenue,PHOENIX,AZ,85004,621399,Offices of All Other Miscellaneous Health Practitioners,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,37,2020-04-15,"Readycap Lending, LLC",350000,1000000
4101,"d $350,000-1 million",SOUTHWEST CONCRETE INC,114 E Sahuaro St,TUCSON,AZ,85705,238110,Poured Concrete Foundation and Structure Contractors,Corporation,Unanswered,Unanswered,Unanswered,,49,2020-06-22,American Express National Bank,350000,1000000
4102,"d $350,000-1 million",SOUTHWEST CONFERENCE PLANNERS INC,8767 E VIA DE COMMERCIO Ste 101,SCOTTSDALE,AZ,85258,721199,All Other Traveler Accommodation,Corporation,Unanswered,Unanswered,Unanswered,,12,2020-04-13,Johnson Bank,350000,1000000
4103,"d $350,000-1 million","SOUTHWEST ENVIRONMENTAL, INC.",9452 N 16th Ave,PHOENIX,AZ,85021,111998,All Other Miscellaneous Crop Farming,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,34,2020-04-07,BBVA USA,350000,1000000
4104,"d $350,000-1 million","SOUTHWEST FABRICATION, LLC",22233 N 23rd Avenue,PHOENIX,AZ,85027,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,43,2020-04-11,"BOKF, National Association",350000,1000000
4105,"d $350,000-1 million","SOUTHWEST FASTENER, LLC",242 E. University Drive,PHOENIX,AZ,85004,423710,Hardware Merchant Wholesalers,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,43,2020-04-06,Bank 34,350000,1000000
4106,"d $350,000-1 million",SOUTHWEST GROUND CONTROL LLC,255 E CORPORATE PL,CHANDLER,AZ,85225,236210,Industrial Building Construction,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,2020-04-15,First-Citizens Bank & Trust Company,350000,1000000
4107,"d $350,000-1 million",SOUTHWEST HOLDING COMPANY LLC,1931 W. Grant Road Ste 360,TUCSON,AZ,85745,541214,Payroll Services,Partnership,Unanswered,Unanswered,Unanswered,,41,2020-04-28,Customers Bank,350000,1000000
4108,"d $350,000-1 million",SOUTHWEST INSTITUTE OF HEALING ARTS LLC,1538 East Southern Avenue,TEMPE,AZ,85282,611310,"Colleges, Universities, and Professional Schools",Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,60,2020-05-14,American Express National Bank,350000,1000000
4109,"d $350,000-1 million",SOUTHWEST IRRIGATION LLC,401 East Maley Street,WILLCOX,AZ,85643,221310,Water Supply and Irrigation Systems,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-04-27,Legacy Bank,350000,1000000
4110,"d $350,000-1 million",SOUTHWEST METALS LLC,4708 W PASADENA AVE,GLENDALE,AZ,85301,423510,Metal Service Centers and Other Metal Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,47,2020-04-06,BBVA USA,350000,1000000
4111,"d $350,000-1 million","SOUTHWEST METALSMITHS, INC.",5026 E Beverly Rd,PHOENIX,AZ,85044,238990,All Other Specialty Trade Contractors,Subchapter S Corporation,White,Male Owned,Non-Veteran,,115,2020-04-10,MidFirst Bank,350000,1000000
4112,"d $350,000-1 million",SOUTHWEST ROCK PRODUCTS LLC,85 W COMBS RD STE 101,SAN TAN VALLEY,AZ,85140,212321,Construction Sand and Gravel Mining,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,86,2020-04-06,"BOKF, National Association",350000,1000000
4113,"d $350,000-1 million","SOUTHWEST SCENIC GROUP, INC.",1966 E UNIVERSITY DR,TEMPE,AZ,85281,561499,All Other Business Support Services,Corporation,Unanswered,Unanswered,Unanswered,,51,2020-04-16,"JPMorgan Chase Bank, National Association",350000,1000000
4114,"d $350,000-1 million","SOUTHWEST SLURRY SEAL, INC.",22855 N 21st Ave.,PHOENIX,AZ,85027,237310,"Highway, Street, and Bridge Construction",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,74,2020-04-09,"Zions Bank, A Division of",350000,1000000
4115,"d $350,000-1 million",SOUTHWEST SURFACE BLASTING,932 W 1ST AVE,MESA,AZ,85210,238990,All Other Specialty Trade Contractors,Corporation,Unanswered,Female Owned,Non-Veteran,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4116,"d $350,000-1 million","SOUTHWEST SYSTEMS ENTERPRISE COMMUNICATIONS, L.L.C.",51 e wilcox drive,SIERRA VISTA,AZ,85635,236118,Residential Remodelers,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,33,2020-04-30,"JPMorgan Chase Bank, National Association",350000,1000000
4117,"d $350,000-1 million","SOUTHWEST TANK AND STEEL, INC.",4900 N Hayfield Draw Rd STE I,CAMP VERDE,AZ,86322,238990,All Other Specialty Trade Contractors,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,33,2020-04-11,"JPMorgan Chase Bank, National Association",350000,1000000
4118,"d $350,000-1 million","SOUTHWEST TRUCK DRIVER TRAINING, INC.",2323 SOUTH 51ST AVENUE,PHOENIX,AZ,85043,611519,Other Technical and Trade Schools,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,2020-04-28,MidFirst Bank,350000,1000000
4119,"d $350,000-1 million",SOUTHWEST TURBINE INC,3501 N 42nd Ave,PHOENIX,AZ,85019,336412,Aircraft Engine and Engine Parts Manufacturing,Corporation,Unanswered,Unanswered,Unanswered,,25,2020-04-27,BMO Harris Bank National Association,350000,1000000
4120,"d $350,000-1 million","SOUTHWESTERN SCALE COMPANY, INC.",2535 W BROADWAY RD,PHOENIX,AZ,85041,333997,Scale and Balance Manufacturing,Corporation,Unanswered,Unanswered,Unanswered,,44,2020-04-15,"JPMorgan Chase Bank, National Association",350000,1000000
4121,"d $350,000-1 million",SPARKABILITY GROUP INC,"17220 N. Boswell Blvd, Suite 223",SUN CITY,AZ,85373,511210,Software Publishers,Corporation,Unanswered,Unanswered,Unanswered,,26,2020-04-14,MidFirst Bank,350000,1000000
4122,"d $350,000-1 million","SPARKLE CLEANERS, INC",16 W DRACHMAN ST,TUCSON,AZ,85705,812320,Drycleaning and Laundry Services (except Coin-Operated),Corporation,Unanswered,Unanswered,Unanswered,,115,2020-04-07,Western Alliance Bank,350000,1000000
4123,"d $350,000-1 million","SPARTAN CONCRETE COMPANY, INC",2811 E Jones Ave,PHOENIX,AZ,85040,238990,All Other Specialty Trade Contractors,Corporation,Unanswered,Unanswered,Unanswered,,75,2020-04-30,"JPMorgan Chase Bank, National Association",350000,1000000
4124,"d $350,000-1 million","SPARTAN MAT, LLC",3158 E Bonanza Ct,GILBERT,AZ,85297,423390,Other Construction Material Merchant Wholesalers,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,30,2020-04-14,KeyBank National Association,350000,1000000
4125,"d $350,000-1 million",SPECIAL OLYMPICS ARIZONA,2455 N CITRUS RD BLDG 64,GOODYEAR,AZ,85395,624120,Services for the Elderly and Persons with Disabilities,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
4126,"d $350,000-1 million",SPECIALISTS IN DERMATOLOGY PLLC,2732 N. Alvernon Way,TUCSON,AZ,85712,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,96,2020-04-28,"JPMorgan Chase Bank, National Association",350000,1000000
4127,"d $350,000-1 million","SPECIALIZED SERVICES COMPANY, INC",2001 W North Lane,PHOENIX,AZ,85021,213112,Support Activities for Oil and Gas Operations,Corporation,White,Female Owned,Non-Veteran,,36,2020-04-05,TrustBank,350000,1000000
4128,"d $350,000-1 million",SPECIALTY ROOFING INC,8200 N 75TH AVE,PEORIA,AZ,85345,238160,Roofing Contractors,Corporation,Unanswered,Unanswered,Unanswered,,0,2020-04-08,Johnson Bank,350000,1000000
4129,"d $350,000-1 million",SPECIALTY/SEDONA LOAN HOLDINGS LLC,625 GOLF CLUB WAY,SEDONA,AZ,86336,531390,Other Activities Related to Real Estate,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,76,2020-04-27,Western Alliance Bank,350000,1000000
4130,"d $350,000-1 million","SPECTRA EYE INSTITUTE, LLC",9849 W Thunderbird Blvd,SUN CITY,AZ,85351,621320,Offices of Optometrists,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,2020-04-28,Republic Bank of Arizona,350000,1000000
4131,"d $350,000-1 million","SPECTRA SERVICES, INC.",3120 W CAREFREE HWY STE 1-111,PHOENIX,AZ,85086,541618,Other Management Consulting Services,Corporation,Unanswered,Unanswered,Unanswered,,27,2020-05-11,"JPMorgan Chase Bank, National Association",350000,1000000
4132,"d $350,000-1 million",SPECTRUM AEROSPACE INC.,609 W. Knox Rd,TEMPE,AZ,85284,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,26,2020-04-09,Arizona Bank & Trust,350000,1000000
4133,"d $350,000-1 million","SPECTRUM DERMATOLOGY, PLLC",9500 E Ironwood Square Drive Suite 110,SCOTTSDALE,AZ,85258,448120,Women's Clothing Stores,Limited  Liability Company(LLC),Asian,Female Owned,Non-Veteran,,87,2020-04-07,Stearns Bank National Association,350000,1000000
4134,"d $350,000-1 million",SPECTRUM VETERINARY LLC,2801 S 35TH STREET,PHOENIX,AZ,85034,541940,Veterinary Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,2020-04-28,BBVA USA,350000,1000000
4135,"d $350,000-1 million","SPEEDY GONZALEZ CONSTRUCTION, INC.",6735 W Frier Drive,GLENDALE,AZ,85305,237110,Water and Sewer Line and Related Structures Construction,Corporation,Unanswered,Unanswered,Unanswered,,78,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
4136,"d $350,000-1 million","SPELLMAN HARDWOODS, INC.",4645 N 43RD AVE,PHOENIX,AZ,85031,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Corporation,Unanswered,Unanswered,Unanswered,,59,2020-04-06,"BOKF, National Association",350000,1000000
