combined_type	seqnos	calltype	responsible_company	responsible_org_type	responsible_city	responsible_state	responsible_zip	source	date_received	date_complete	description_of_incident	type_of_incident	incident_cause	incident_dtg	incident_location	location_address	location_street1	location_nearest_city	location_state	location_county	location_zip	potential_flag	distance_from_location	incident_date	incident_time	has_lat_long	fire_involved	any_evacuations	any_injuries	number_injured	any_fatalities	number_fatalities	any_damages	air_corridor_closed	waterway_closed	road_closed	media_interest	medium_desc	body_of_water	release_secured	desc_remedial_action	weather_conditions	water_supply_contaminated	additional_info	state_agency_notified	federal_agency_notified	az_incident
ALL TABLES	766379	INC	D.L. CAMBELL	PRIVATE ENTERPRISE	LAKE HAVASU	AZ		TELEPHONE	2005-07-22	2005-07-22	CALLER REPORTED THAT COMPANY IS BURYING 55 GALLON DRUMS OF WASTE OIL AT A MINING SITE. THE PERSON STATED THAT THIS HAS BEEN ONGOING FOR YEARS.	STORAGE TANK	OTHER	OCCURRED	MINING SITE: CHENOWETH RD OFF 95			LAKE HAVASU	AZ	MOHAVE		Y		2005-07-22	00:00:00	N	N	N	N		N		N	N	N	N	NONE	LAND		U	NONE	UNKNOWN	U	IT WAS UNKNOWN IF ANY PRODUCT HAS DISCHARGED.			Y
ALL TABLES	766634	INC	A.P.F.	PUBLIC UTILITY	PHOENIX	AZ		TELEPHONE	2005-07-24	2005-07-24	A POLE WITH A TRANSFORMER BROKE IN HALF AND SPILLED OIL	FIXED	EQUIPMENT FAILURE	OCCURRED	ON THE CORNER OF MONTGOMERY AND SELMA			CASA GRANDE	AZ	MARICOPA				2005-07-24	09:45:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	A VAC TRUCK WILL SUCK UP RAINWATER AND THE SOIL WILL BE REMOVED	RAINY	U	THE CALLER WILL NOTIFY ADEQ	NO	NO	Y
ALL TABLES	766648	INC	HONEYWELL ENGINES AND SYSTEMS	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2005-07-24	2005-07-24	A CONTRACTOR WAS TESTING UNDERGROUND LINES AT THE FACILITY AND DETECTED A LEAK IN ONE OF THE LINES.	FIXED	UNKNOWN	DISCOVERED		111 S 34TH STREET		PHOENIX	AZ	MARICOPA				2005-07-23	20:45:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	SOURCE UNDER INVESTIGATION	PARTLY CLOUDY	U	THE CALLER WILL NOTIFY THE COUNTY LEPC AND THE AZDEQ.			Y
ALL TABLES	767184	INC	CALJET LLC	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	TELEPHONE	2005-07-28	2005-07-28	THE CALLER IS REPORTING A RELEASE OF DIESEL FUEL ONTO THE GROUND FROM A 3-INCH LINE DUE TO CORROSION.	FIXED	EQUIPMENT FAILURE	DISCOVERED		5159 WEST MONROE		PHOENIX	AZ	MARICOPA				2005-07-28	12:00:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	ISOLATED AREA	SUNNY	U	THE CALLER HAD NO ADDITIONAL INFORMATION			Y
ALL TABLES	767189	INC		UNKNOWN		XX		TELEPHONE	2005-07-28	2005-07-28	REPORTING A TRAIN DERAILMENT DUE TO UNKNOWN CAUSES AT THIS TIME.  TWO LOCOMOTIVES DERAILED.	RAILROAD NON-RELEASE	DERAILMENT	OCCURRED	MILEPOST 902			CASA GRANDE	AZ	PINAL		Y		2005-07-28	15:30:00	N	N	N	N		N		N	N	N	N	NONE	RAIL REPORT (N/A)		Y	RESPONDING TO THE SCENE	CLEAR	U	TRACK CLOSURE IS STILL ONGOING.  LOCOMOTIVE ARE UPRIGHT.	AZ CORP COMMISSION		Y
ALL TABLES	767280	INC	GIANT TRANSPORTATION	PRIVATE ENTERPRISE	BLOOMFIELD	NM	87413	TELEPHONE	2005-07-29	2005-07-29	TANKER TRUCK M306 WAS GOING NORTHBOUND ON STATE ROAD 77 AT MILE MARKER 147 WENT OFF THE ROAD DUE TO UNKNOWN CAUSES AND CAUGHT ON FIRE.  DRIVER OF THE TRUCK WAS KILLED.  MOST OF THE DIESEL RELEASED WAS BURNT IN THE FIRE.	MOBILE	TRANSPORT ACCIDENT	OCCURRED	STATE ROAD 77			GLOBE	AZ	GILA				2005-07-29	00:00:00	N	Y	N	N		Y	1	N	N	N	N	NONE	LAND		Y	INVESTIGATION UNDERWAY	CLEAR	U	NONE			Y
ALL TABLES	767289	INC		PRIVATE CITIZEN	WILLIAMS	AZ		TELEPHONE	2005-07-29	2005-07-29	THE RESPONSIBLE PERSON IS DUMPING PHOTOGRAPHIC CHEMICALS INTO A SEPTIC SYSTEM	FIXED	DUMPING	OCCURRED		7293 LONGBOW DR		WILLIAMS	AZ	COCONINO				2005-07-29	00:00:00	N	N	N	N		N		N	N	N	N	NONE	WATER	SEPTIC SYSTEM	U	NONE	CLEAR	U	THE CALLER HAS NO ADDITIONAL INFORMATION	CITY AND COUNTY	NO	Y
ALL TABLES	767338	INC	BNSF	PRIVATE ENTERPRISE	FORT WORTH	TX	76131	TELEPHONE	2005-07-30	2005-07-30	"A TRAIN (Z-LACWSP4-29) STRUCK THE BACK OF ANOTHER TRAIN (S-OIGCHI3-26) DERAILING 3 CARS AND 1 LOCOMOTIVE. THE ""Z"" TRAIN DERAILED IT'S REAR LOCOMOTIVE AND 2 HEAD CARS. THE ""S"" TRAIN DERAILED REAR CAR. NO HAZAMT OR INJURIES REPORTED."	RAILROAD NON-RELEASE	DERAILMENT	OCCURRED	MAINLINE			KINGMAN	AZ	MOHAVE		N		2005-07-30	00:10:00	N	N	N	N		N		Y	N	N	N	NONE	RAIL REPORT (N/A)		U	CREWS ON SITE /RERAILING EQUIPMENT EN ROUTE	RAINY	U	MAIN TRACK 2 WAS CLOSED, HOWEVER MAN 1 REMAINS OPENS. DAMAGES WERE ESTIMATED TO EXCEED $300,000.	AZ CORP COMM.		Y
ALL TABLES	767341	INC	CTI	PRIVATE ENTERPRISE	TUSCON	AZ		TELEPHONE	2005-07-30	2005-07-30	A TWO VEHICLE ACCIDENT IN WHICH A TRUCK DRIVER TRIED TO AVOID A HEAD ON COLLISON CAUSING IT TO TURN OVER. THE TANKER TRUCK WAS HAULING SULFURIC ACID WHICH WAS BREACHED AND HAS IMPACTED BOTH SIDES OF US HWY 70 (E / W). THE TRUCK DRIVER HAD DIED DUE TO THE ACCIDENT. THE OTHER VEHICLE THAT HAD CAUSED THE ACCIDENT WERE TRANSPORTED TO HOSPITAL FOR OBSERVATION, NO INJURIES REPORTED.	MOBILE	OTHER	OCCURRED	US HWY 70	MM: 292		GLOBE/ SAFFORD	AZ	GRAHAM				2005-07-29	22:00:00	N	N	N	N		Y	1	N	N	N	Y	NONE	LAND		U	HAZMAT DISPATCHED (ETA APPROX IN 2 HRS)/ FIRE DEPT AND ADOT SEALED VALVE TO SECURE LEAK/	CLEAR	U	TRAFFIC HAS BEEN REROUTED THROUGH TUSCON. CALLER REPORTED THAT MORE THAN A HUNDRED GALLONS RELEASED, IT WAS UNKNOWN IF ANY WATERWAYS WERE IMPACTED. VALVE WAS SEALED TO SECURE RELEASE, HOWEVER A SMALL LEAK STILL EXISTS.	FBI/ ADEQ/	SCT-EPA	Y
ALL TABLES	767377	INC		PRIVATE CITIZEN	DUNCAN	AZ	85534	TELEPHONE	2005-07-30	2005-07-30	SULFURIC ACID RELEASED FROM THE CARGO OF A TANKER TRUCK DUE TO A VEHICLE ACCIDENT, RESULTING IN A FATALITY.	MOBILE	TRANSPORT ACCIDENT	OCCURRED	ON HWY 70 WEST BOUND MILE MARKER 291.6			BAYLIS	AZ	GRAHAM				2005-07-29	23:00:00	N	N	N	Y	2	Y	1	N	N	N	Y	NONE	LAND		Y	CLEAN UP UNDERWAY	PARTLY CLOUDY	U	CALLER STATED THE FATALITY WAS TO THE DRIVER OF THE TANKER TRUCK.	ADPS, ADOT		Y
ALL TABLES	767481	INC		UNKNOWN		XX		TELEPHONE	2005-08-01	2005-08-01	THE CALLER STATED THAT A TRUCK ACCIDENTLY BACKED INTO A LAKE.	MOBILE	OPERATOR ERROR	OCCURRED	BLUE RIDGE RESERVOIR	COCONINO NATIONAL FOREST		FLAGSTAFF	AZ	COCONINO			45 MILES S	2005-07-31	16:00:00	N	N	N	N		Y	1	N	N	N	N	NONE	WATER	BLUE RIDGE RESERVOIR	N	A HAZMAT TEAM AND DIVERS WILL BE ON SCENE TOMORROW MORNING TO START THE RECOVERY PROCESS.		U	IT IS BELIEVED THAT THE VEHICLE MAY HAVE HAD A FAMILY IN IT. THE TRUCK HAS SUNK IN 70 FEET OF WATER.	HAZMAT, DEQ		Y
ALL TABLES	767638	INC	ACE ASPHALT OF ARIZONA	UNKNOWN	PHOENIX	AZ	85040	TELEPHONE	2005-08-02	2005-08-02	CALLER STATED DUE TO A MOTOR VEHICLE ACCIDENT THERE WAS A RELEASE OF MATERIALS ONTO THE SOIL FROM A PICK UP TRUCK, ACCIDENT CAUSED BY UNKNOWN CAUSES.	MOBILE	UNKNOWN	OCCURRED		SR 85	SOUTHBOUND	GILA BEND	AZ	MARICOPA				2005-08-02	07:00:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	SOIL DAMED AND SOIL WILL BE REMOVED.	CLEAR	U	NO ADDITIONAL INFORMATION.	ADOT, AZDPS	NONE	Y
ALL TABLES	767702	INC	KINDER MORGAN ENERGY PARTNERS LP	PRIVATE ENTERPRISE	ORANGE	CA	92868	TELEPHONE	2005-08-02	2005-08-02	THE MATERIAL IS RELEASING FROM A STORAGE TANK DUE TO UNKNOWN CAUSES AT THIS TIME.	STORAGE TANK	UNKNOWN	DISCOVERED	MARINE CORP AIR STATION, BUILDING 301	AVE 3E		YUMA	AZ	YUMA				2005-08-02	14:00:00	N	N	N	N		N		N	N	N	N	NONE	SOIL		Y	REMOVING THE REMAINING PRODUCT FROM THE TANK, EXCAVATING SOIL, CLEAN UP UNDERWAY	CLEAR	U	CALLER WILL NOTIFY OTHER LOCAL AGENCIES.			Y
ALL TABLES	767993	INC		UNKNOWN		XX		TELEPHONE	2005-08-04	2005-08-04	CALLER STATED THERE WAS A RELEASE OF MATERIALS FROM THE SADDLE TANK ON A TRACTOR TRAILER. THE RELEASE WAS DUE TO A TRANSPORT ACCIDENT.	MOBILE	TRANSPORT ACCIDENT	OCCURRED	US 93 SOUTHBOUND AT MILEPOST 10.4			BULLHEAD	AZ	MOHAVE			50 MILES S	2005-08-04	07:30:00	N	N	N	U		Y	1	N	N	N	N	NONE	WATER	DRY WASH	Y	INVESTIGATION UNDERWAY		U	1 CONFIRMED FATALITY DUE TO THE WRECK	NONE	NONE	Y
ALL TABLES	768068	INC	ARIZONA PUBLIC SERVICE	STATE GOVERNMENT	PHOENIX	AZ	850723933	TELEPHONE	2005-08-05	2005-08-05	DURING A STORM 3 TRANSFORMERS MOUNTED TO A POLE WENT DOWN INTO A DITCH CONTAINING WATER AND OIL WAS RELEASED.	FIXED	NATURAL PHENOMENON	OCCURRED	OTT WELL SITE			YUMA	AZ	YUMA				2005-08-04	22:00:00	N	N	N	N		N		N	N	N	N	NONE	WATER	DITCH	Y	RESPONSE COMPANY WILL SKIM OIL OFF OF THE WATER.	RAINY	N	ADEQ WILL BE NOTIFIED. OIL RELEASED WAS BETWEEN 30-50 GALLONS. OIL IS NON PCB.			Y
ALL TABLES	768116	INC		UNKNOWN		XX		TELEPHONE	2005-08-05	2005-08-05	THE CALLER IS REPORTING A 55 GALLON DRUM OF CONCRETE SEALER SPILLED OUT OF THE BACK OF A TRAILER DUE TO UNKNOWN CAUSES.  TWO EASTBOUND LANES OF I-10 WERE SHUT DOWN FOR A MAXIMUM OF 2 HOURS.  THE HAS BEEN REOPENED.  ONE INDIVIDUAL WAS SENT TO THE HOSPITAL AS A PRECAUTIONARY.  HE HAS BEEN RELEASED.	STORAGE TANK	TRANSPORT ACCIDENT	OCCURRED	I-10 EASTBOUND, 1.1 MILE SE OF DAVIS MONTHAN AFB			TUCSON	AZ	PIMA				2005-08-05	09:10:00	N	N	N	Y	1	N		N	N	N	Y	NONE	LAND		Y	NO CLEANUP NECESSARY	UNKNOWN	U	THE INDIVIDUAL WAS SENT TO THE HOSPITAL AS A PRECAUTIONARY MEASURE.	AZHP		Y
ALL TABLES	768190	INC		UNKNOWN		XX		TELEPHONE	2005-08-06	2005-08-06	MOTOR OIL SPILLED INTO LAKE MEAD FROM THE BILGE OF A PLEASURE CRAFT.	VESSEL	EQUIPMENT FAILURE	OCCURRED	TEMPLE BAR MARINA			DOLAN SPRINGS	AZ	MOHAVE				2005-08-06	15:49:00	N	N	N	N		N		N	N	N	N	NONE	WATER	LAKE MEAD	Y	CLEAN UP UNDERWAY	CLEAR	N	NONE			Y
ALL TABLES	768247	INC	PHELPS DODGE	PRIVATE ENTERPRISE	GREEN VALLEY	AZ		TELEPHONE	2005-08-07	2005-08-07	THE MATERIAL RELEASED FROM A 12 INCH PIPELINE DUE TO EQUIPMENT FAILURE (PIPE SPLIT).	PIPELINE	EQUIPMENT FAILURE	DISCOVERED	NUMBER 14 SUMP, CLOSE TO THE TANK HOUSE			GREEN VALLEY	AZ	PIMA				2005-08-07	17:20:00	N	N	N	N		N		N	N	N	N	NONE	SOIL		Y	ISOLATED THE LEAK, CLEAN UP UNDERWAY	PARTLY CLOUDY	U	CALLER WILL NOTIFY DEQ.			Y
ALL TABLES	768453	INC		UNKNOWN		XX		TELEPHONE	2005-08-09	2005-08-09	CALLER IS REPORTING THAT A FREIGHT TRAIN STRUCK A TRESPASSER LYING BETWEEN THE RAILS, RESULTING IN FATAL INJURY.	RAILROAD NON-RELEASE	OTHER	OCCURRED	WEST MAIN TRACK			KINGMAN	AZ	MOHAVE		N	6 MILES E	2005-08-09	10:10:00	N	N	N	N		Y	1	N	N	N	N	NONE	RAIL REPORT (N/A)		U	REMOVING THE BODY FROM TRACKS	PARTLY CLOUDY	U	CALLER HAD NO ADDITIONAL INFORMATION.	AZ CORPORATION COMMISSION		Y
ALL TABLES	768511	INC	AZ PUBLIC SERVICE CO.	PRIVATE ENTERPRISE	PHONIEX	AZ		TELEPHONE	2005-08-09	2005-08-09	NON PCB MINERAL OIL SPILLED ONTO THE SOIL AND POSSIBLY INTO AN UNNAMED WASH FROM A FAILED PAD MOUNTED TRANSFORMER.	FIXED	EQUIPMENT FAILURE	DISCOVERED	2 MILES NW ON STATE RT 260 ON MAYFILED CANYON RD			STAR VALLEY	AZ	GILA				2005-08-09	13:30:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	CLEAN UP CREW ON-SITE	CLEAR	U	NONE			Y
ALL TABLES	768636	INC	SAIA	PRIVATE ENTERPRISE	PHOENIX	AZ	85009	TELEPHONE	2005-08-10	2005-08-10	TRICHOLORETHYLELE RELEASED INSIDE OF A TRACTOR TRAILER FROM A LEAKING 20 GALLON DRUM.	MOBILE	EQUIPMENT FAILURE	OCCURRED		2001 GRANT ST		BELLINGHAM	WA	WHATCOM				2005-08-10	12:00:00	N	N	N	N		N		N	N	N	N	NONE	OTHER		Y	CLEAN UP UNDERWAY	UNKNOWN	U	NONE			Y
ALL TABLES	768708	INC		UNKNOWN		XX		TELEPHONE	2005-08-11	2005-08-11	CALLER STATED THERE WAS A RELEASE OF MATERIALS FROM A FUEL TRUCK DUE TO OPERATOR ERROR.	MOBILE	OPERATOR ERROR	DISCOVERED		2875 S 7TH AVE		PHOENIX	AZ	MARICOPA	85041			2005-08-11	05:00:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	DUG UP THE SOIL AND PUT IT ON VISQUEEEN TARPS.	CLEAR	U	NO ADDITIONAL INFORMATION.	NONE	NONE	Y
ALL TABLES	768791	INC	FERRO MEX	OTHER		MX		TELEPHONE	2005-08-11	2005-08-11	A TRAIN DERAILED, CAUSE UNDETERMINED. AS A RESULT. 2 TANK CARS WERE COMPROMISED WHICH ARE LEAKING SULFURIC ACID. BINATIONAL PLAN WAS ACTIVATED TO PROVIDE AID TO MEXICO. AN UKNOWN AMOUNT OF MATERIAL HAS ENTERED THE SANTA CRUZ RIVER.	RAILROAD	DERAILMENT	DISCOVERED	SOUTH OF THE MEXICO / US BORDER /SOUTH OF E. SANTA CRUZ COUNTY, AZ	SANTA CRUZ RIVER	20-30 MILES FROM AZ		AZ	SANTA CRUZ				2005-08-11	16:19:00	N	N	N	U		U		N	N	N	N	NONE	WATER	SANTA CRUZ RIVER	U	PEOPLE ARE ON SITE AT DERAILMENT/ CREWS ARE BEING SENT TO OBSERVE ANY CONTAMINATION/ PH TESTS WILL BE TAKEN IN APPROX 30 MIN.	RAINY	Y	CALLER STATED THAT THE RIVER IS USED FOR A DRINKING SUPPLY FOR NOGALES, AZ AND SURROUNDING HOMES. AZ DEQ WILL BE CONTACTED.			Y
ALL TABLES	769115	INC	E.R.M.	PRIVATE ENTERPRISE		XX		TELEPHONE	2005-08-15	2005-08-15	THE CALLER STATED THAT THERE IS A WATER PUMP WITH A BROKEN PUMP THAT IS PUMPING WATER WITH A SHEEN OUT.	RAILROAD	EQUIPMENT FAILURE	OCCURRED	MILE POST 734.4 / GILA SUBDIVISION			YUMA	AZ	YUMA				2005-08-15	10:03:00	N	N	N	N		N		N	N	N	N	NONE	LAND		U	UNDER INVESTIGATION / REMEDIATION EN ROUTE	SUNNY	U	THE CALLER HAD NO ADDITIONAL INFORMATION	AZ DEPT OF PUBLIC SAFETY		Y
ALL TABLES	769166	INC	AZ DOT	STATE GOVERNMENT	PHOENIX	AZ	85009	TELEPHONE	2005-08-15	2005-08-15	CALLER STATED THERE WAS A RELEASE FROM A BUCKET TRUCK DUE TO A FIRE FROM UNKNOWN CAUSES.	MOBILE	UNKNOWN	OCCURRED		2104 S 22AVE		PHOENIX	AZ	MARICOPA	85009			2005-08-13	12:00:00	N	Y	N	N		N		Y	N	N	N	NONE	WATER	STORM DRAIN	Y	NO ADDTIONAL ACTION NEEDED.	PARTLY CLOUDY	U	NO ADDITIONAL INFORMATION.	CITY OF PHOENIX	NONE	Y
ALL TABLES	769172	INC		UNKNOWN		XX		TELEPHONE	2005-08-15	2005-08-15	A BODY WAS FOUND CUT UP ON THE TRACKS. IT IS UNKNOWN WHICH TRAIN STRUCK THEM.	RAILROAD NON-RELEASE	UNKNOWN	DISCOVERED	M/M: 196			CHETO	AZ	APACHE		N		2005-08-14	09:14:00	N	N	N	N		Y	1	N	N	N	N	NONE	RAIL REPORT (N/A)		U	LOCAL OFFICIALS RESPONDED TO THE SCENE		U	NONE			Y
ALL TABLES	769330	INC	SWIFT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2005-08-16	2005-08-16	THE CALLER IS REPORTING A RELEASE OF TETRACHLOROETHYLENE IN THE BACK OF A TRACTOR TRAILER TRUCK FROM A LEAKING 55 GALLON DRUM.	MOBILE	EQUIPMENT FAILURE	OCCURRED		901 ALEXANDER AVE		TACOMA	WA	PIERCE				2005-08-16	14:00:00	N	N	N	N		N		N	N	N	N	NONE	OTHER		Y	CLEAN UP CREW ON-SITE	CLEAR	U	NONE	DOE		Y
ALL TABLES	769357	INC		UNKNOWN		XX		TELEPHONE	2005-08-17	2005-08-17	CALLER REPORTED THAT A SET OF LOCOMOTIVES  ON LIGHT POWER (NOT PULLING ANY CARS) STRUCK AND KILLED A TRESPASSER AT A GRADE CROSSING	RAILROAD NON-RELEASE	UNKNOWN	OCCURRED	LOUISE AVENUE CROSSING			BARRY	AZ	MOHAVE		N		2005-08-17	03:55:00	N	N	N	N		Y	1	N	N	N	N	NONE	RAIL REPORT (N/A)		U	KINGMAN PD RESPONDED, AMBULANCE ENROUTE	CLEAR	U	CALLER WILL NOTIFY THE STATE OF ARIZONA.  TRACKS WILL BE CLOSED UNTIL INVESTIGATION IS COMPLETE			Y
ALL TABLES	769453	INC	CITY OF NOGALES SONARA MEXICO	LOCAL GOVERNMENT	SONARA	MX		TELEPHONE	2005-08-17	2005-08-17	RAW SEWAGE RELEASED FROM BROKEN SEWER LINES DUE TO SEWER LINES BROKE FROM AGE.	PIPELINE	EQUIPMENT FAILURE	DISCOVERED	ARIZONA MEXICO BOARDER			NOGALES	AZ	SANTA CRUZ				2005-08-16	15:00:00	N	N	N	N		N		N	N	N	N	NONE	WATER	NOGALES WASH	N	ACTIVATING A PUMP STATION, CHLORINATE THE WASH TO KNOCK DOWN THE BACTERIA		N	CALLER STATED THESE AGENCIES HAVE ALSO BEEN NOTIFIED: INT'L BOARDER, PUBLIC HEALTH, CITY OF NOGALES, POLICE AND FIRE DEPT, AZ DEPT OF WATER RESOURCES.  CALLER WILL NOTIFY EPA REGION IX.	DEQ, ADEM, SANTA CRUZ COUNTY		Y
ALL TABLES	769845	INC		UNKNOWN		XX		TELEPHONE	2005-08-21	2005-08-21	CALLER STATES THERE ARE TANKER TRUCKS THAT ARE DUMPING MATERIALS IN THE EARLY MORNING AND THE WEEKENDS IN THEIR NEIGHBORHOOD. CALLER STATES THAT ANIMALS IN THE AREA ARE DYING AND GETTING SICK. HER HUSBAND USED TO BE A TRUCK DRIVER AND CAN TELL WHEN A TRUCK IS FULL AND WHEN IT IS EMPTY AS IT DRIVES BY THEIR HOME. THE TRUCK IS DESCRIBED AS WHITE WITH GREEN AND BLACK LETTERING.	MOBILE	DUMPING	OCCURRED	5000 BLOCK OF ELVADO ROAD	ELVADO ROAD		TUCSON	AZ	PIMA				2005-08-21	12:00:00	N	N	N	N		N		N	N	N	N	NONE	LAND		U	NO ACTIONS TAKEN JUST REPORTING IT TO THE NRC.	SUNNY	U	NO ADDITIONAL INFORMATION.	NONE	NONE	Y
ALL TABLES	770449	INC		UNKNOWN		XX		TELEPHONE	2005-08-26	2005-08-26	CALLER STATER A STEEL PIPE IS COMING OUT OF THE WALL NEXT TO HER HOME THAT IS DRIPPING MATERIALS.  BUGS AND FLIES ARE AROUND THE MATERIALS AND THERE IS A FOUL SMELL. THIS SMELL HAPPENS ONCE A WEEK. CALLER DIDN'T THE SIZE OF THE PIPE.	PIPELINE	UNKNOWN	DISCOVERED		3148 NORTH FONTANA AVE		TUCSON	AZ	PIMA	85705			2005-08-26	10:45:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	NO ACTIONS TAKEN	SUNNY	U	NO ADDITIONAL INFORMATION.	NONE	NONE	Y
ALL TABLES	770450	INC	AMERICA WEST AIRLINES	PRIVATE ENTERPRISE	PHOENIX	AZ	85034	TELEPHONE	2005-08-26	2005-08-26	AN AIR CRAFT LUGGAGE TUG CAUGHT ON FIRE IN THE BASEMENT OF THE BUILDING DUE TO A FAULTY FUEL LINE AND RELEASED GASOLINE INTO A STORM DRAIN.	MOBILE	EQUIPMENT FAILURE	OCCURRED		4000 E. SKY HARBOR BLVD		PHOENIX	AZ	MARICOPA	85034			2005-08-25	19:07:00	N	Y	N	N		N		N	N	N	N	NONE	WATER	STORM DRAIN	Y	CLEANUP UNDERWAY	CLEAR	U	NONE			Y
ALL TABLES	770751	INC	FEDEX	PRIVATE ENTERPRISE	TUCSON	AZ	85711	TELEPHONE	2005-08-29	2005-08-29	A NORTHBOUND TRACTOR TRAILER HEADING NORTHBOUND HIT THE GAURDRAIL AND RUPTURED THE FUEL TANK.  MATERIAL IMPACTED THE GROUND ONLY.	MOBILE	OPERATOR ERROR	OCCURRED	I-25 NORTHBOUND AT MM: 136.5			COLORADO SPRINGS	CO	EL PASO				2005-08-29	13:02:00	N	N	N	N		N		N	N	N	N	NONE	LAND		U	LOCAL OFFICIALS RESPONDED TO THE SCENE.		U	NONE			Y
ALL TABLES	770775	INC		UNKNOWN		XX		TELEPHONE	2005-08-29	2005-08-29	A LOCAL TRAIN LEAVING A SIDING GOING TO A MAIN LINE, DERAILED THE FRONT SET OF WHEELS OF THE LOCOMOTIVE.	RAILROAD NON-RELEASE	DERAILMENT	OCCURRED	MM:  932			ELLOY	AZ	PINAL		N		2005-08-29	17:26:00	N	N	N	N		N		N	N	N	N	NONE	RAIL REPORT (N/A)		U	RERAILING IS IN PROGRESS		U	NONE	STATE AZ CC		Y
ALL TABLES	771116	INC		UNKNOWN		XX		TELEPHONE	2005-08-31	2005-08-31	GASOLINE SPILLED ONTO THE SOIL FROM A FAILED GASOLINE PUMP IN A GAS STATION.	FIXED	EQUIPMENT FAILURE	OCCURRED		2199 HWY 95		BULL HEAD CITY	AZ	MOHAVE				2005-08-26	21:06:00	N	N	N	N		N		N	N	N	N	NONE	LAND		Y	CLEAN UP UNDERWAY	UNKNOWN	U	NONE	SERC		Y
ALL TABLES	771182	INC	MISSION INDUSTRIES	PRIVATE ENTERPRISE	LAKE HAVASU CITY	AZ	86403	TELEPHONE	2005-09-01	2005-09-01	25% SODIUM HYDROXIDE RELEASED FROM PIPING AT THE FACILITY DUE TO FAILURE OF A FITTING WHILE TRANSFERRING MATERIAL.	PIPELINE	EQUIPMENT FAILURE	OCCURRED		1070 GAGE DR.		LAKE HAVASU CITY	AZ	MOHAVE				2005-08-25	11:36:00	N	N	N	Y	5	N		N	N	N	Y	LOW	SOIL		Y	CONTRACTOR COMING OUT TO NEUTRALIZE AFFECTED SOILS AND TEST IT		U	CALLER STATED THAT THE 5 PEOPLE INJURED WERE BYSTANDERS.	AZ ERC		Y
ALL TABLES	771189	INC	BENNETT OIL	PRIVATE ENTERPRISE	PRESCOTT	AZ	86301	TELEPHONE	2005-09-01	2005-09-01	CALLER STATED THERE WAS A RELEASE OF MATERIALS WHICH WAS CAUSED BY A FIRE. THE FIRE WAS CAUSED BY A FUEL TRANSFER. THERE WAS AN EVACUATION OF THE FACILITY. ALSO THE RESIDENTS IN THE AREA WITHIN A 200 YARD RADIUS  WERE EVACUATED . THE MATERIALS RELEASED WERE ALL MIXED TOGETHER WITH THE WATER FROM THE FIRE EXTINGUISHMENT. THE MATERIALS WENT DOWN A STORM DRAIN THEN TO AN UNNAMED CREEK THEN TO THE GRANITE CREEK.	FIXED	OTHER	OCCURRED		810 SHELDON		PRESCOTT	AZ	YAVAPAI	86301			2005-08-31	11:00:00	N	Y	Y	Y	1	N		U	N	N	N	NONE	WATER	STORM DRAIN	Y	THE HAD CONTAINMENT BY DIKING THE RELEASE OF MATERIALS AND USING A VACUUM TRUCK.	CLEAR	U	NO ADDITIONAL INFORMATION.	ADEQ, CITY OF PRESCOTT, AND COUNTY	NONE	Y
ALL TABLES	771192	INC	BENNETT OIL	PRIVATE ENTERPRISE	PRESCOTT	AZ	86301	TELEPHONE	2005-09-01	2005-09-01	THE CALLER STATED THAT SOME RACING FUEL WAS BEING TRANSFERRED WHEN SOME OF THE MATERIAL SPILLED OUT.  DUE TO STATIC ELECTRICITY THE FUEL CAUGHT FIRE AND SPREAD TO THE WAREHOUSE.	FIXED	EQUIPMENT FAILURE	OCCURRED		810 EAST SHELDON ST.		PRESCOTT	AZ	YAVAPAI	86301			2005-08-31	12:00:00	N	Y	Y	N		N		N	N	N	N	NONE	WATER	GRANITE CREEK	Y	DIKES WERE CONSTRUCTED IN THE CREEK. / MATERIAL WAS PUMPED FROM THE HOLDING COOL.	SUNNY	N	THE CALLER HAD NO ADDITIONAL INFORMATION	ADEQ, FIRE & POLICE		Y
ALL TABLES	771278	INC		UNKNOWN		XX		TELEPHONE	2005-09-02	2005-09-02	THE CALLER STATED THAT A FREIGHT TRAIN COLLIDED WITH A VEHICLE.	RAILROAD NON-RELEASE	UNKNOWN	OCCURRED	MILE POST 898			MARICOPA	AZ	PINAL		Y		2005-09-02	04:42:00	N	N	N	N		N		N	N	N	N	NONE	RAIL REPORT (N/A)		U	N/A	CLEAR	U	THE CALLER HAD NO ADDITIONAL INFORMATION			Y
